GHG source,Federal organization,Fiscal year,Fleet type,GHG scope,Energy category,Fuel type,Fuel consumption (L),Energy use (GJ),Emissions (t)
fleets,Canada Border Services Agency,FY 2019-20,on-road vehicles,1,liquified petroleum gas,propane,69.39999109,1.756513774,0.106899597
fleets,Canada Border Services Agency,FY 2019-20,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),453.0998954,15.34196246,0.945189044
fleets,Canada Border Services Agency,FY 2019-20,Marine Vessels,1,gasoline,gasoline,642.5999301,22.49099755,1.49716486
fleets,Canada Border Services Agency,FY 2019-20,on-road vehicles,1,fuels with renewable content,biodiesel (5%),4263.100218,162.1406221,11.10325912
fleets,Canada Border Services Agency,FY 2019-20,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,73951.05987,2832.325593,202.5190315
fleets,Canada Border Services Agency,FY 2019-20,on-road vehicles,1,gasoline,gasoline,1758592.162,61550.72566,4074.217684
fleets,Canada Border Services Agency,FY 2020-21,on-road vehicles,1,liquified petroleum gas,propane,107.9999691,2.733479217,0.166356702
fleets,Canada Border Services Agency,FY 2020-21,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),1250.999867,42.35885549,2.609648794
fleets,Canada Border Services Agency,FY 2020-21,on-road vehicles,1,fuels with renewable content,biodiesel (5%),5012.999699,190.661924,13.05638293
fleets,Canada Border Services Agency,FY 2020-21,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,64155.99977,2457.174791,175.6946739
fleets,Canada Border Services Agency,FY 2020-21,on-road vehicles,1,gasoline,gasoline,1413379.008,49468.26528,3274.446115
fleets,Canada Revenue Agency,FY 2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,24175.00147,925.9025564,66.20452332
fleets,Canada Revenue Agency,FY 2005-06,on-road vehicles,1,gasoline,gasoline,142968.9901,5003.914655,331.2234383
fleets,Canada Revenue Agency,FY 2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,23457.548,821.2286,58.72007487
fleets,Canada Revenue Agency,FY 2010-11,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),694.792,24.31119,1.4005544
fleets,Canada Revenue Agency,FY 2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),27895.049,976.75942,59.8950261
fleets,Canada Revenue Agency,FY 2010-11,On-road vehicles,1,Gasoline,gasoline,112157,3925.495,251.568151
fleets,Canada Revenue Agency,FY 2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),2125.085,74.34865,4.97928725
fleets,Canada Revenue Agency,FY 2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,19760.922,691.8129,49.4665009
fleets,Canada Revenue Agency,FY 2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),15976.774,559.43492,34.3046286
fleets,Canada Revenue Agency,FY 2011-12,On-road vehicles,1,Gasoline,gasoline,126445,4425.575,283.616135
fleets,Canada Revenue Agency,FY 2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),196.747,6.88343,0.46099795
fleets,Canada Revenue Agency,FY 2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,20207.274,707.4393,50.58383093
fleets,Canada Revenue Agency,FY 2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),12289.603,430.32674,26.3876967
fleets,Canada Revenue Agency,FY 2012-13,On-road vehicles,1,Gasoline,gasoline,109675,3838.625,246.001025
fleets,Canada Revenue Agency,FY 2013-14,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,21019.022,735.8579,52.615838
fleets,Canada Revenue Agency,FY 2013-14,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),9896.278,346.52324,21.2488542
fleets,Canada Revenue Agency,FY 2013-14,On-road vehicles,1,Gasoline,gasoline,99886,3496.01,224.044298
fleets,Canada Revenue Agency,FY 2014-15,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,13195.828,461.9746,33.03243835
fleets,Canada Revenue Agency,FY 2014-15,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),8900.268,311.64744,19.1102652
fleets,Canada Revenue Agency,FY 2014-15,On-road vehicles,1,Gasoline,gasoline,93128,3259.48,208.886104
fleets,Canada Revenue Agency,FY 2015-16,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,9501.1712,332.62784,23.78379378
fleets,Canada Revenue Agency,FY 2015-16,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),7456.2469,261.084302,16.00972641
fleets,Canada Revenue Agency,FY 2015-16,On-road vehicles,1,Gasoline,gasoline,83390.94,2918.6829,187.0458784
fleets,Canada Revenue Agency,FY 2016-17,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,14677.5416,513.84812,36.74153589
fleets,Canada Revenue Agency,FY 2016-17,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),266.6424,9.334328,0.12762324
fleets,Canada Revenue Agency,FY 2016-17,On-road vehicles,1,Gasoline,gasoline,89163.45,3120.72075,199.9936184
fleets,Canada Revenue Agency,FY 2017-18,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),107.8999789,3.653493285,0.225084836
fleets,Canada Revenue Agency,FY 2017-18,on-road vehicles,1,fuels with renewable content,biodiesel (5%),685.0998852,26.05674648,1.784345597
fleets,Canada Revenue Agency,FY 2017-18,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,7952.300725,304.5731178,21.77779703
fleets,Canada Revenue Agency,FY 2017-18,on-road vehicles,1,gasoline,gasoline,84996.00868,2974.860304,196.9145268
fleets,Canada Revenue Agency,FY 2018-19,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,7433.897076,284.718258,20.35813268
fleets,Canada Revenue Agency,FY 2018-19,on-road vehicles,1,gasoline,gasoline,83880.49609,2935.817363,194.3301426
fleets,Canada Revenue Agency,FY 2019-20,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),33.40001126,1.130924381,0.069674092
fleets,Canada Revenue Agency,FY 2019-20,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,6462.999953,247.5328982,17.69927707
fleets,Canada Revenue Agency,FY 2019-20,on-road vehicles,1,gasoline,gasoline,82240.30473,2878.410666,190.5302088
fleets,Canada Revenue Agency,FY 2020-21,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,1936.79975,74.17943043,5.304032497
fleets,Canada Revenue Agency,FY 2020-21,on-road vehicles,1,gasoline,gasoline,45654.99359,1597.924776,105.7712361
fleets,Canadian Food Inspection Agency,FY 2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),1123.499908,28.43578267,0.399741242
fleets,Canadian Food Inspection Agency,FY 2005-06,Other mobile equipment,1,gasoline,gasoline,15430.99474,540.084816,38.05593252
fleets,Canadian Food Inspection Agency,FY 2005-06,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,18823.99507,720.9590111,50.61538553
fleets,Canadian Food Inspection Agency,FY 2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),161867.5417,5480.834961,337.6636848
fleets,Canadian Food Inspection Agency,FY 2005-06,on-road vehicles,1,gasoline,gasoline,2532467.676,88636.36865,5867.098419
fleets,Canadian Food Inspection Agency,FY 2018-19,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,498.2001757,19.08106673,1.36434789
fleets,Canadian Food Inspection Agency,FY 2018-19,other mobile equipment,1,gasoline,gasoline,10007.00318,350.2451115,24.67926562
fleets,Canadian Food Inspection Agency,FY 2018-19,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),16152.29402,546.9166756,33.69451618
fleets,Canadian Food Inspection Agency,FY 2018-19,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,21532.99735,824.7137985,57.89954615
fleets,Canadian Food Inspection Agency,FY 2018-19,on-road vehicles,1,gasoline,gasoline,1624277.065,56849.69727,3763.042114
fleets,Canadian Food Inspection Agency,FY 2019-20,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),3692.000006,93.44452015,1.313613517
fleets,Canadian Food Inspection Agency,FY 2019-20,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),6380.998425,216.0606067,13.31108071
fleets,Canadian Food Inspection Agency,FY 2019-20,other mobile equipment,1,gasoline,gasoline,8921.000344,312.2350121,22.00098038
fleets,Canadian Food Inspection Agency,FY 2019-20,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,21285.00557,815.2157135,57.23269558
fleets,Canadian Food Inspection Agency,FY 2019-20,on-road vehicles,1,gasoline,gasoline,1522739.839,53295.89438,3527.806355
fleets,Canadian Food Inspection Agency,FY 2020-21,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),116.6899683,2.953423098,0.041518286
fleets,Canadian Food Inspection Agency,FY 2020-21,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),4415.998181,149.5256984,9.211994121
fleets,Canadian Food Inspection Agency,FY 2020-21,Other mobile equipment,1,gasoline,gasoline,8105.201231,283.6820431,19.98904443
fleets,Canadian Food Inspection Agency,FY 2020-21,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,20394.00673,781.0904579,54.83688927
fleets,Canadian Food Inspection Agency,FY 2020-21,on-road vehicles,1,gasoline,gasoline,1018854.287,35659.90004,2360.430563
fleets,Canadian Space Agency,FY 2005-06,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,144.4168665,5.531165987,0.388318766
fleets,Canadian Space Agency,FY 2017-18,other mobile equipment,1,gasoline,gasoline,1386.011304,48.51039565,3.418181457
fleets,Canadian Space Agency,FY 2017-18,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,2761.726168,105.7741122,7.425932795
fleets,Canadian Space Agency,FY 2017-18,on-road vehicles,1,gasoline,gasoline,7286.386899,255.0235415,16.88073695
fleets,Canadian Space Agency,FY 2018-19,other mobile equipment,1,gasoline,gasoline,734.1626712,25.69569349,1.810592197
fleets,Canadian Space Agency,FY 2018-19,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,2493.556585,95.50321722,6.704859674
fleets,Canadian Space Agency,FY 2018-19,on-road vehicles,1,gasoline,gasoline,8870.163073,310.4557076,20.54995215
fleets,Canadian Space Agency,FY 2019-20,other mobile equipment,1,gasoline,gasoline,548.9368677,19.21279037,1.353787772
fleets,Canadian Space Agency,FY 2019-20,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,2200.665997,84.28550768,5.917313516
fleets,Canadian Space Agency,FY 2019-20,on-road vehicles,1,gasoline,gasoline,10638.98588,372.3645058,24.64787239
fleets,Canadian Space Agency,FY 2020-21,on-road vehicles,1,gasoline,gasoline,443.3999781,15.51899923,1.027246961
fleets,Canadian Space Agency,FY 2020-21,Other mobile equipment,1,gasoline,gasoline,669.6440867,23.43754303,1.651476435
fleets,Canadian Space Agency,FY 2020-21,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,1476.51175,56.55040002,3.970155135
fleets,Correctional Service Canada,FY 2005-06,on-road vehicles,1,natural gas,compressed natural gas,15744.902,0.598306276,0.03390143
fleets,Correctional Service Canada,FY 2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),23070.99049,583.9267693,8.20866245
fleets,Correctional Service Canada,FY 2005-06,on-road vehicles,1,liquified petroleum gas,propane,42163.99749,1067.170776,64.94689369
fleets,Correctional Service Canada,FY 2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),36042.00896,1220.382423,75.18541479
fleets,Correctional Service Canada,FY 2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,78954.98729,3023.976013,216.2224407
fleets,Correctional Service Canada,FY 2005-06,on-road vehicles,1,gasoline,gasoline,1066691.741,37334.21094,2471.257996
fleets,Correctional Service Canada,FY 2017-18,on-road vehicles,1,liquified petroleum gas,propane,40.49998052,1.025054507,0.062383771
fleets,Correctional Service Canada,FY 2017-18,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),3960.600564,134.1059351,8.262008846
fleets,Correctional Service Canada,FY 2017-18,on-road vehicles,1,fuels with renewable content,biodiesel (5%),6527.500468,248.263689,17.00089967
fleets,Correctional Service Canada,FY 2017-18,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,45341.39807,1736.575546,124.1698961
fleets,Correctional Service Canada,FY 2017-18,on-road vehicles,1,gasoline,gasoline,1031361.586,36097.65552,2389.408325
fleets,Correctional Service Canada,FY 2018-19,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),1370.999613,46.4220469,2.859975263
fleets,Correctional Service Canada,FY 2018-19,on-road vehicles,1,fuels with renewable content,biodiesel (5%),1877.000496,71.38889837,4.88865453
fleets,Correctional Service Canada,FY 2018-19,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,36794.00691,1409.210464,100.7623315
fleets,Correctional Service Canada,FY 2018-19,on-road vehicles,1,gasoline,gasoline,923664.2927,32328.25024,2139.897705
fleets,Correctional Service Canada,FY 2019-20,on-road vehicles,1,natural gas,compressed natural gas,233.2839435,0.00886479,0.0005023
fleets,Correctional Service Canada,FY 2019-20,on-road vehicles,1,liquified petroleum gas,propane,103.0000372,2.606930941,0.158655077
fleets,Correctional Service Canada,FY 2019-20,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),1352.999982,45.81257939,2.822425514
fleets,Correctional Service Canada,FY 2019-20,on-road vehicles,1,fuels with renewable content,biodiesel (5%),2265.200418,86.15350008,5.899720967
fleets,Correctional Service Canada,FY 2019-20,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,62803.42082,2405.371017,171.990509
fleets,Correctional Service Canada,FY 2019-20,on-road vehicles,1,gasoline,gasoline,1243781.208,43532.34229,2881.529572
fleets,Correctional Service Canada,FY 2020-21,on-road vehicles,1,fuels with renewable content,biodiesel (5%),620.3999746,23.59598243,1.615833744
fleets,Correctional Service Canada,FY 2020-21,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),1276.099731,43.2087369,2.662009135
fleets,Correctional Service Canada,FY 2020-21,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,27983.40242,1071.764313,76.63404751
fleets,Correctional Service Canada,FY 2020-21,on-road vehicles,1,gasoline,gasoline,681056.5395,23836.97888,1577.838043
fleets,Crown-Indigenous Relations and Northern Affairs Canada,FY 2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),13.9999973,0.474039908,0.029204701
fleets,Crown-Indigenous Relations and Northern Affairs Canada,FY 2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,3405.999839,130.4497938,9.327515066
fleets,Crown-Indigenous Relations and Northern Affairs Canada,FY 2005-06,on-road vehicles,1,gasoline,gasoline,31724.00447,1110.340157,73.49660492
fleets,Crown-Indigenous Relations and Northern Affairs Canada,FY 2018-19,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),55.99998919,1.896159634,0.116818805
fleets,Crown-Indigenous Relations and Northern Affairs Canada,FY 2018-19,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,261.199907,10.00395644,0.715310633
fleets,Crown-Indigenous Relations and Northern Affairs Canada,FY 2018-19,on-road vehicles,1,gasoline,gasoline,37323.9903,1306.339661,86.47036648
fleets,Crown-Indigenous Relations and Northern Affairs Canada,FY 2019-20,on-road vehicles,1,gasoline,gasoline,34693.02063,1214.255722,80.3750639
fleets,Crown-Indigenous Relations and Northern Affairs Canada,FY 2020-21,on-road vehicles,1,gasoline,gasoline,7413.681248,259.4788437,17.17564285
fleets,Employment and Social Development Canada,FY 2005-06,on-road vehicles,1,liquified petroleum gas,propane,110.9999625,2.809409052,0.170977692
fleets,Employment and Social Development Canada,FY 2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),3295.00053,111.568718,6.873535752
fleets,Employment and Social Development Canada,FY 2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,5409.000586,207.1647224,14.81284237
fleets,Employment and Social Development Canada,FY 2005-06,on-road vehicles,1,gasoline,gasoline,601008.0741,21035.28259,1392.384727
fleets,Employment and Social Development Canada,FY 2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),131.527,4.60163,0.30818095
fleets,Employment and Social Development Canada,FY 2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,6094.674,213.3693,15.25648433
fleets,Employment and Social Development Canada,FY 2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),13488.683,472.31314,28.9623087
fleets,Employment and Social Development Canada,FY 2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),23.859,0.83523,0.01141965
fleets,Employment and Social Development Canada,FY 2010-11,On-road vehicles,1,Gasoline,gasoline,398004,13930.14,892.722972
fleets,Employment and Social Development Canada,FY 2010-11,On-road vehicles,1,Liquified petroleum gas,propane,50.61,1.7717,0.1078238
fleets,Employment and Social Development Canada,FY 2010-11,On-road vehicles,1,Natural gas,compressed natural gas,34.438,0.005092,0.000290499
fleets,Employment and Social Development Canada,FY 2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),700.7889,24.517941,1.642018665
fleets,Employment and Social Development Canada,FY 2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,6355.2648,222.49236,15.9088079
fleets,Employment and Social Development Canada,FY 2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),33353.6673,1167.895734,71.61553197
fleets,Employment and Social Development Canada,FY 2011-12,On-road vehicles,1,Gasoline,gasoline,338975.5,11864.1425,760.3220465
fleets,Employment and Social Development Canada,FY 2011-12,On-road vehicles,1,Liquified petroleum gas,propane,61.2381,2.143757,0.130466798
fleets,Employment and Social Development Canada,FY 2011-12,On-road vehicles,1,Natural gas,compressed natural gas,97.0175,0.014345,0.000818382
fleets,Employment and Social Development Canada,FY 2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,3504.082,122.6749,8.771588462
fleets,Employment and Social Development Canada,FY 2012-13,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),30.944,1.08352,0.0664416
fleets,Employment and Social Development Canada,FY 2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),28445.272,996.02576,61.0764408
fleets,Employment and Social Development Canada,FY 2012-13,On-road vehicles,1,Gasoline,gasoline,277225,9702.875,621.815675
fleets,Employment and Social Development Canada,FY 2012-13,Other mobile equipment,1,Liquified petroleum gas,propane,22.413,0.78461,0.04775054
fleets,Employment and Social Development Canada,FY 2012-13,On-road vehicles,1,Natural gas,compressed natural gas,69.133,0.010222,0.000583165
fleets,Employment and Social Development Canada,FY 2013-14,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,233.8972,8.18854,0.585502845
fleets,Employment and Social Development Canada,FY 2013-14,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),23674.9643,828.990994,50.83384527
fleets,Employment and Social Development Canada,FY 2013-14,On-road vehicles,1,Gasoline,gasoline,226073.8,7912.583,507.0835334
fleets,Employment and Social Development Canada,FY 2013-14,Other mobile equipment,1,Liquified petroleum gas,propane,22.1238,0.774486,0.047134404
fleets,Employment and Social Development Canada,FY 2014-15,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,55.5752,1.94564,0.139118543
fleets,Employment and Social Development Canada,FY 2014-15,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),15684.6433,549.205814,33.67737837
fleets,Employment and Social Development Canada,FY 2014-15,On-road vehicles,1,Gasoline,gasoline,154284.7,5399.9645,346.0605821
fleets,Employment and Social Development Canada,FY 2015-16,On-road vehicles,1,Gasoline,gasoline,146124.13,5114.34455,327.7564236
fleets,Employment and Social Development Canada,FY 2016-17,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),233.3371,8.170418,0.50101119
fleets,Employment and Social Development Canada,FY 2016-17,On-road vehicles,1,Gasoline,gasoline,141776.3,4962.1705,318.0042409
fleets,Employment and Social Development Canada,FY 2017-18,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),34.70000643,1.174942218,0.072385952
fleets,Employment and Social Development Canada,FY 2017-18,on-road vehicles,1,gasoline,gasoline,138904.2411,4861.648438,321.8066044
fleets,Employment and Social Development Canada,FY 2018-19,on-road vehicles,1,gasoline,gasoline,134079.0213,4692.765747,310.6274929
fleets,Employment and Social Development Canada,FY 2019-20,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,41.9999873,1.608599514,0.115019258
fleets,Employment and Social Development Canada,FY 2019-20,on-road vehicles,1,fuels with renewable content,biodiesel (5%),42.99998782,1.635440037,0.111993648
fleets,Employment and Social Development Canada,FY 2019-20,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),220.9999666,7.48305887,0.461017147
fleets,Employment and Social Development Canada,FY 2019-20,on-road vehicles,1,gasoline,gasoline,129410.001,4529.350037,299.8106117
fleets,Employment and Social Development Canada,FY 2020-21,on-road vehicles,1,gasoline,gasoline,14443.81823,505.533638,33.46271896
fleets,Environment and Climate Change Canada,FY 2005-06,on-road vehicles,1,natural gas,compressed natural gas,2220.073801,0.084362804,0.004780195
fleets,Environment and Climate Change Canada,FY 2005-06,Other mobile equipment,1,liquified petroleum gas,propane,2101.999439,53.2016058,3.237795278
fleets,Environment and Climate Change Canada,FY 2005-06,Other mobile equipment,1,fuels with renewable content,ethanol-blended gasoline (10%),7977.048533,270.1028633,17.83269691
fleets,Environment and Climate Change Canada,FY 2005-06,on-road vehicles,1,liquified petroleum gas,propane,16289.937,412.2983055,25.09205043
fleets,Environment and Climate Change Canada,FY 2005-06,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,16520.34242,632.7291145,44.42112112
fleets,Environment and Climate Change Canada,FY 2005-06,aircraft,1,aviation fuel,aviation gasoline,22551.99416,755.9428444,56.09923029
fleets,Environment and Climate Change Canada,FY 2005-06,aircraft,1,aviation fuel,aviation turbo fuel,37328.01652,1396.067818,96.29228878
fleets,Environment and Climate Change Canada,FY 2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),70185.47351,2376.480133,146.4103518
fleets,Environment and Climate Change Canada,FY 2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,102851.878,3939.226929,281.6654091
fleets,Environment and Climate Change Canada,FY 2005-06,Other mobile equipment,1,gasoline,gasoline,246088.7503,8613.106262,606.9039307
fleets,Environment and Climate Change Canada,FY 2005-06,on-road vehicles,1,gasoline,gasoline,1434890.96,50221.18359,3324.282944
fleets,Environment and Climate Change Canada,FY 2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),3929.1789,137.467041,9.206460165
fleets,Environment and Climate Change Canada,FY 2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,24157.2704,845.72528,59.37464012
fleets,Environment and Climate Change Canada,FY 2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,176196.5768,6168.49076,441.0638393
fleets,Environment and Climate Change Canada,FY 2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),83.0004,2.905588,0.03972654
fleets,Environment and Climate Change Canada,FY 2010-11,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),21312.3899,746.264242,45.76102911
fleets,Environment and Climate Change Canada,FY 2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),131114.8531,4591.053698,281.5240636
fleets,Environment and Climate Change Canada,FY 2010-11,Other mobile equipment,1,Gasoline,gasoline,244254,8548.89,548.838738
fleets,Environment and Climate Change Canada,FY 2010-11,On-road vehicles,1,Gasoline,gasoline,1176017.2,41160.602,2637.80658
fleets,Environment and Climate Change Canada,FY 2010-11,On-road vehicles,1,Liquified petroleum gas,propane,132.8874,4.651978,0.283114492
fleets,Environment and Climate Change Canada,FY 2010-11,On-road vehicles,1,Natural gas,compressed natural gas,35.3375,0.005225,0.000298086
fleets,Environment and Climate Change Canada,FY 2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),9478.4226,331.613994,22.20889461
fleets,Environment and Climate Change Canada,FY 2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,23000.256,805.2192,56.53088698
fleets,Environment and Climate Change Canada,FY 2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,172579.594,6041.8633,432.0096321
fleets,Environment and Climate Change Canada,FY 2011-12,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),27714.22,970.4276,59.506758
fleets,Environment and Climate Change Canada,FY 2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),158136.8945,5537.24431,339.5446061
fleets,Environment and Climate Change Canada,FY 2011-12,Other mobile equipment,1,Gasoline,gasoline,231093.7,8088.2795,519.2675439
fleets,Environment and Climate Change Canada,FY 2011-12,On-road vehicles,1,Gasoline,gasoline,1071402.4,37499.084,2403.155583
fleets,Environment and Climate Change Canada,FY 2011-12,Other mobile equipment,1,Liquified petroleum gas,propane,897.4599,31.417303,1.912024042
fleets,Environment and Climate Change Canada,FY 2012-13,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,22700.0624,794.70968,55.79305995
fleets,Environment and Climate Change Canada,FY 2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,166975.2508,5845.66006,417.9805676
fleets,Environment and Climate Change Canada,FY 2012-13,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),18771.5007,657.293706,40.30534323
fleets,Environment and Climate Change Canada,FY 2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),159790.2711,5595.138138,343.0946638
fleets,Environment and Climate Change Canada,FY 2012-13,Other mobile equipment,1,Gasoline,gasoline,185807.5,6503.2625,417.5094525
fleets,Environment and Climate Change Canada,FY 2012-13,On-road vehicles,1,Gasoline,gasoline,977433.5,34210.1725,2192.383341
fleets,Environment and Climate Change Canada,FY 2012-13,Other mobile equipment,1,Liquified petroleum gas,propane,55.5987,1.946339,0.118452146
fleets,Environment and Climate Change Canada,FY 2013-14,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),14162.0882,495.477658,33.18319277
fleets,Environment and Climate Change Canada,FY 2013-14,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,25990.4862,909.90459,63.88038628
